cf,pa,ef,cha,temporalidad,ace,sa,productores_atendidos
Manejo Fitosanitario del Frijol,Roya del frijol (Uromyces phaseoli),Chiapas,Frijol,Cuarto Trimestre,Control Químico,87,20
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Guerrero,Frijol,Cuarto Trimestre,Control Biológico,140,53
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Hidalgo,Frijol,Cuarto Trimestre,Control Biológico,50,23
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Nayarit,Frijol,Cuarto Trimestre,Control Biológico,1650,210
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Nayarit,Frijol,Cuarto Trimestre,Control Químico,691,93
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Nuevo León,Frijol,Cuarto Trimestre,Control Biológico,50,4
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Oaxaca,Frijol,Cuarto Trimestre,Control Biológico,8,6
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Puebla,Frijol,Cuarto Trimestre,Control Biológico,147,77
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",San Luis Potosí,Frijol,Cuarto Trimestre,Control Biológico,500,49
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Sinaloa,Frijol,Cuarto Trimestre,Control Biológico,3018,171
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Sinaloa,Frijol,Cuarto Trimestre,Control Químico,2623,310
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii) y Gusano del fruto (Helicoverpa zea)",Sonora,Frijol,Cuarto Trimestre,Control Biológico,463,39
Manejo Fitosanitario del Frijol,"Rata de campo (Sigmodon mascotensis, Mus musculus y Sigmodon arizonae)",Sonora,Frijol,Cuarto Trimestre,Control Químico,"4,500.00",15
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Veracruz,Frijol,Cuarto Trimestre,Control Biológico,64,47
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Zacatecas,Frijol,Cuarto Trimestre,Control Biológico,"1,145.00",92
Manejo Fitosanitario del Trigo,"Rata de campo (Sigmodon mascotensis, Mus musculus y Sigmodon arizonae) y Secadera de raíz (Fusarium sp.)",Guanajuato,Trigo,Cuarto Trimestre,Control Biológico,648,157
Manejo Fitosanitario del Trigo,Roya lineal (Puccinia striiformis),Oaxaca,Trigo,Cuarto Trimestre,Control Químico,1,1
Manejo Fitosanitario del Trigo,Pulgón verde de los cereales (Schizaphis graminum),Sonora,Trigo,Cuarto Trimestre,Control Biológico,588,18
Manejo Fitosanitario del Arroz,Quema del arroz (Pyricularia oryzae),Campeche,Arroz,Cuarto Trimestre,Control Químico,90,4
Manejo Fitosanitario del Sorgo,Pulgón amarillo del sorgo (Melanaphis sacchari),Sinaloa,Sorgo,Cuarto Trimestre,Control Biológico,"3,580.00",172
Manejo Fitosanitario del Cacao,Moniliasis del cacao (Monilophthora roreri),Tabasco,Cacao,Cuarto Trimestre,Control cultural,20,5
Manejo Fitosanitario del Garbanzo,Gusano soldado (Spodoptera exigua),Sinaloa,Garbanzo,Cuarto Trimestre,Control Biológico,600,37
