cf,pa,ef,cha,temporalidad,ace,sa,productores_atendidos
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda) y Gusano elotero (Helicoverpa zea),San Luis Potosí,Maíz,Tercer Trimestre,Control Biológico,1470.0,236.0
Manejo Fitosanitario del Maíz,"Gusano cogollero (Spodoptera frugiperda), Gusano elotero (Helicoverpa zea) y Chapulín (Brachystola sp., Sphenarium sp., Melanoplus sp.)",Sonora,Maíz,Tercer Trimestre,Control Biológico,513.19,220.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Sonora,Maíz,Tercer Trimestre,Control Etológico,25.0,8.0
Manejo Fitosanitario del Maíz,"Rata de campo (Sigmodon mascotensis, Mus musculus y Sigmodon arizonae)",Sonora,Maíz,Tercer Trimestre,Control Químico,2400.0,7.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda) y Gusano elotero (Helicoverpa zea),Tabasco,Maíz,Tercer Trimestre,Control Biológico,1547.0,154.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Tabasco,Maíz,Tercer Trimestre,Control Químico,219.5,25.0
Manejo Fitosanitario del Maíz,"Chapulín (Brachystola sp., Sphenarium sp., Melanoplus sp.)",Tlaxcala,Maíz,Tercer Trimestre,Control Biológico,546.0,53.0
Manejo Fitosanitario del Maíz,"Chapulín (Brachystola sp., Sphenarium sp., Melanoplus sp.)",Tlaxcala,Maíz,Tercer Trimestre,Control Químico,381.0,75.0
Manejo Fitosanitario del Maíz,"Gusano cogollero (Spodoptera frugiperda), Gusano elotero (Helicoverpa zea) y Plagas rizófagas (Phyllophaga spp.)",Veracruz,Maíz,Tercer Trimestre,Control Biológico,1776.0,772.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Veracruz,Maíz,Tercer Trimestre,Control Químico,117.5,53.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda) y Gusano elotero (Helicoverpa zea),Yucatán,Maíz,Tercer Trimestre,Control Biológico,1190.15,373.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda) y Gusano elotero (Helicoverpa zea),Zacatecas,Maíz,Tercer Trimestre,Control Biológico,6000.0,565.0
Manejo Fitosanitario del Maíz,"Chapulín (Brachystola sp., Sphenarium sp., Melanoplus sp.)",Zacatecas,Maíz,Tercer Trimestre,Control Químico,72.0,36.0
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Aguascalientes,Frijol,Tercer Trimestre,Control Biológico,80.0,16.0
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii) y Roya del frijol (Uromyces phaseoli)",Chiapas,Frijol,Tercer Trimestre,Control Químico,37.67,13.0
Manejo Fitosanitario del Frijol,"Chapulín (Brachystola sp., Sphenarium sp., Melanoplus sp.)",Chihuahua,Frijol,Tercer Trimestre,Control Biológico,600.0,10.0
Manejo Fitosanitario del Frijol,"Chapulín (Brachystola sp., Sphenarium sp., Melanoplus sp.)",Chihuahua,Frijol,Tercer Trimestre,Control Químico,354.0,32.0
Manejo Fitosanitario del Frijol,"Rata de campo (Sigmodon mascotensis, Mus musculus y Sigmodon arizonae)",Guanajuato,Frijol,Tercer Trimestre,Control Biológico,60.0,6.0
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Hidalgo,Frijol,Tercer Trimestre,Control Biológico,350.0,125.0
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Nuevo León,Frijol,Tercer Trimestre,Control Biológico,21.0,15.0
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Oaxaca,Frijol,Tercer Trimestre,Control Biológico,901.5,272.0
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Puebla,Frijol,Tercer Trimestre,Control Biológico,1097.0,349.0
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Querétaro,Frijol,Tercer Trimestre,Control Biológico,322.5,84.0
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",San Luis Potosí,Frijol,Tercer Trimestre,Control Biológico,150.0,18.0
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii) y Gusano del fruto (Helicoverpa zea)",Sonora,Frijol,Tercer Trimestre,Control Biológico,23.0,31.0
Manejo Fitosanitario del Frijol,"Rata de campo (Sigmodon mascotensis, Mus musculus y Sigmodon arizonae)",Sonora,Frijol,Tercer Trimestre,Control Químico,2400.0,8.0
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii) y Pulgón verde de los cereales (Schizaphis graminum)",Zacatecas,Frijol,Tercer Trimestre,Control Biológico,2855.0,208.0
Manejo Fitosanitario del Frijol,"Chapulín (Brachystola sp., Sphenarium sp., Melanoplus sp.)",Zacatecas,Frijol,Tercer Trimestre,Control Químico,744.0,359.0
Manejo Fitosanitario del Trigo,"Rata de campo (Sigmodon mascotensis, Mus musculus y Sigmodon arizonae)",Sonora,Trigo,Tercer Trimestre,Control Químico,300.0,1.0
Manejo Fitosanitario del Trigo,Pulgón verde de los cereales (Schizaphis graminum),Zacatecas,Trigo,Tercer Trimestre,Control Biológico,200.0,14.0
Manejo Fitosanitario del Arroz,Quema del arroz (Pyricularia oryzae),Campeche,Arroz,Tercer Trimestre,Control Químico,50.0,1.0
Manejo Fitosanitario del Sorgo,Pulgón amarillo del sorgo (Melanaphis sacchari),Sinaloa,Sorgo,Tercer Trimestre,Control Biológico,13538.0,631.0
Manejo Fitosanitario del Sorgo,"Chapulín (Brachystola sp., Sphenarium sp., Melanoplus sp.) y Pulgón amarillo del sorgo (Melanaphis sacchari)",Sinaloa,Sorgo,Tercer Trimestre,Control Químico,4160.0,376.0
Manejo Fitosanitario del Cacao,Moniliasis del cacao (Monilophthora roreri),Tabasco,Cacao,Tercer Trimestre,Control cultural,30.0,6.0
