cf,pa,ef,cha,temporalidad,ace, sa , productores_atendidos
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Puebla,Frijol,Segundo Trimestre,Control Biológico,30,28
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Sinaloa,Frijol,Segundo Trimestre,Control Biológico,2575,148
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Sonora,Frijol,Segundo Trimestre,Control Biológico,9,1
Manejo Fitosanitario del Trigo,Pulgón verde de los cereales (Schizaphis graminum),Baja California,Trigo Panificable,Segundo Trimestre,Control Biológico,400,20
Manejo Fitosanitario del Trigo,Pulgón verde de los cereales (Schizaphis graminum),Coahuila,Trigo Panificable,Segundo Trimestre,Control Biológico,539,18
Manejo Fitosanitario del Trigo,Pulgón verde de los cereales (Schizaphis graminum),Michoacán,Trigo Panificable,Segundo Trimestre,Control Biológico,1432,127
Manejo Fitosanitario del Trigo,Roya lineal (Puccinia striiformis),Michoacán,Trigo Panificable,Segundo Trimestre,Control Químico,162,18
Manejo Fitosanitario del Trigo,Pulgón verde de los cereales (Schizaphis graminum),Nuevo León,Trigo Panificable,Segundo Trimestre,Control Biológico,556,32
Manejo Fitosanitario del Trigo,Roya lineal (Puccinia striiformis),Nuevo León,Trigo Panificable,Segundo Trimestre,Control Químico,406,28
Manejo Fitosanitario del Trigo,Roya lineal (Puccinia striiformis),Sinaloa,Trigo Panificable,Segundo Trimestre,Control Químico,5500,734
Manejo Fitosanitario del Trigo,Pulgón verde de los cereales (Schizaphis graminum),Sonora,Trigo Panificable,Segundo Trimestre,Control Biológico,2300,140
Manejo Fitosanitario del Trigo,"Rata de campo (Sigmodon mascotensis, Mus musculus y Sigmodon arizonae)",Sonora,Trigo Panificable,Segundo Trimestre,Control Químico,7200,22
Manejo Fitosanitario del Garbanzo,Gusano de la cápsula (Heliothis virescens),Sinaloa,Garbanzo,Segundo Trimestre,Control Biológico,200,19
Plagas Reglamentadas del Aguacatero ,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Colima,Aguacatero,Segundo Trimestre,Cultural y Químico,2,120
Plagas Reglamentadas del Aguacatero ,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Estado de México,Aguacatero,Segundo Trimestre,Cultural y Químico,69,130
Plagas Reglamentadas del Aguacatero ,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Jalisco ,Aguacatero,Segundo Trimestre,Cultural y Químico,182,152
Plagas Reglamentadas del Aguacatero ,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Michoacán,Aguacatero,Segundo Trimestre,Cultural y Químico,107,76
Plagas Reglamentadas del Aguacatero ,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Morelos,Aguacatero,Segundo Trimestre,Cultural y Químico,42,38
Plagas Reglamentadas del Aguacatero ,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Nayarit,Aguacatero,Segundo Trimestre,Cultural y Químico,453,207
